Date,Open,High,Low,Close,Adj Close,Volume
2018-02-05,273.45,275.85,-5,1.0,1.0,294681800
2018-02-06,259.94,269.7,-5,1.0,1.0,355026800
2018-02-07,268.5,272.36,-5,1.0,1.0,167376100
2018-02-08,268.01,268.17,-5,1.0,1.0,246449500
2018-02-09,260.8,263.61,-5,1.0,1.0,283565300
2018-02-12,263.83,267.01,-5,1.0,1.0,143736000
2018-02-13,263.97,266.62,-5,1.0,1.0,81223600
2018-02-14,264.31,270.0,-5,1.0,1.0,120735700
2018-02-15,271.57,273.04,-5,1.0,1.0,111200300
2018-02-16,272.32,275.32,-5,1.0,1.0,160420100
2018-02-20,272.03,273.67,-5,1.0,1.0,86369700
2018-02-21,271.9,274.72,-5,1.0,1.0,98883700
2018-02-22,271.1,273.05,-5,1.0,1.0,110511300
2018-02-23,271.79,274.71,-5,1.0,1.0,92766400
2018-02-26,275.93,278.01,-5,1.0,1.0,86491400
2018-02-27,278.11,278.92,-5,1.0,1.0,99099200
2018-02-28,275.68,276.19,-5,1.0,1.0,121907800
2018-03-01,271.41,273.17,-5,1.0,1.0,176855100
2018-03-02,265.8,269.72,-5,1.0,1.0,139083200
2018-03-05,267.73,272.89,-5,1.0,1.0,97307400
2018-03-06,273.3,273.39,-5,1.0,1.0,79213200
2018-03-07,270.42,273.18,-5,1.0,1.0,87063500
2018-03-08,273.55,274.24,-5,1.0,1.0,66901200
2018-03-09,275.7,278.87,-5,1.0,1.0,113625300
2018-03-12,279.2,279.91,-5,1.0,1.0,71924800
2018-03-13,279.84,280.41,-5,1.0,1.0,91968900
2018-03-14,277.81,278.02,-5,1.0,1.0,105895100
2018-03-15,275.88,276.61,-5,1.0,1.0,83433000
2018-03-16,274.5,275.39,-5,1.0,1.0,100343700
2018-03-19,273.35,274.4,-5,1.0,1.0,109208400
2018-03-20,270.94,271.67,-5,1.0,1.0,59757300
2018-03-21,270.9,273.27,-5,1.0,1.0,78709600
2018-03-22,267.91,268.87,-5,1.0,1.0,148785900
2018-03-23,264.17,264.54,-5,1.0,1.0,183534800
2018-03-26,262.13,265.43,-5,1.0,1.0,141956100
2018-03-27,266.17,266.77,-5,1.0,1.0,129941400
2018-03-28,260.75,262.64,-5,1.0,1.0,146452300
2018-03-29,261.12,265.26,-5,1.0,1.0,111601600
2018-04-02,262.55,263.13,-5,1.0,1.0,186286300
2018-04-03,258.87,261.31,-5,1.0,1.0,119956900
2018-04-04,256.75,264.36,-5,1.0,1.0,123715300
2018-04-05,265.55,266.64,-5,1.0,1.0,82652600
2018-04-06,263.42,265.11,-5,1.0,1.0,179521200
2018-04-09,261.37,264.84,-5,1.0,1.0,105442900
2018-04-10,264.27,266.04,-5,1.0,1.0,103529000
2018-04-11,263.47,265.64,-5,1.0,1.0,91140200
2018-04-12,265.26,267.0,-5,1.0,1.0,68890500
2018-04-13,267.41,267.54,-5,1.0,1.0,85079200
2018-04-16,267.0,268.2,-5,1.0,1.0,63405300
2018-04-17,269.33,270.87,-5,1.0,1.0,64682000
2018-04-18,270.69,271.3,-5,1.0,1.0,57303900
2018-04-19,269.65,269.88,-5,1.0,1.0,77655900
2018-04-20,268.81,269.06,-5,1.0,1.0,99953100
2018-04-23,267.26,267.89,-5,1.0,1.0,65558000
2018-04-24,267.73,267.98,-5,1.0,1.0,112885500
2018-04-25,262.91,264.13,-5,1.0,1.0,103840900
2018-04-26,264.79,267.25,-5,1.0,1.0,67731900
2018-04-27,267.0,267.34,-5,1.0,1.0,57053600
2018-04-30,267.26,267.89,-5,1.0,1.0,82182300
2018-05-01,263.87,265.1,-5,1.0,1.0,74203400
2018-05-02,264.76,265.68,-5,1.0,1.0,86368900
2018-05-03,262.26,263.36,-5,1.0,1.0,136311500
2018-05-04,261.52,266.79,-5,1.0,1.0,91222100
2018-05-07,266.89,268.02,-5,1.0,1.0,55304900
2018-05-08,266.5,267.33,-5,1.0,1.0,67499200
2018-05-09,267.68,269.87,-5,1.0,1.0,59666100
2018-05-10,270.34,272.39,-5,1.0,1.0,72063900
2018-05-11,272.16,273.15,-5,1.0,1.0,59871500
2018-05-14,273.34,274.08,-5,1.0,1.0,54790600
2018-05-15,271.59,271.61,-5,1.0,1.0,87036100
2018-05-16,271.14,272.76,-5,1.0,1.0,53942600
2018-05-17,271.94,273.23,-5,1.0,1.0,56536400
2018-05-18,271.62,272.03,-5,1.0,1.0,64368000
2018-05-21,273.01,273.98,-5,1.0,1.0,58025900
2018-05-22,273.96,274.25,-5,1.0,1.0,52966400
2018-05-23,271.17,273.39,-5,1.0,1.0,64694200
2018-05-24,272.91,273.22,-5,1.0,1.0,76043800
2018-05-25,272.15,272.86,-5,1.0,1.0,56374800
